연도	시도	시군구	계열구분	설립구분	남녀구분	지역규모	학교명	주야간	교원수								직원수	학생수	학급수	홈페이지
									계		보통교과담당		전문교과담당		기타					
									계	여자	계	여자	계	여자	계	여자				
2018	서울	종로구	상업고등학교	공립	남여공학	특별/광역시	경기상업고등학교	주간	61	44	17	9	32	26	12	9	4	451	25	http://www.ggc.hs.kr
2018	서울	종로구	상업고등학교	사립	남여공학	특별/광역시	대동세무고등학교	주간	67	21	30	9	28	8	9	4	6	776	30	http://daedong.kr
2018	서울	종로구	상업고등학교	사립	여자	특별/광역시	서일국제경영고등학교	주간	33	20	12	7	14	10	7	3	5	265	14	http://www.seo-il.hs.kr
2018	서울	중구	공업고등학교	공립	남여공학	특별/광역시	성동공업고등학교	주간	90	33	28	15	55	14	7	4	10	856	34	http://www.sdth.hs.kr
2018	서울	중구	공업고등학교	사립	남여공학	특별/광역시	리라아트고등학교	주간	46	14	16	4	26	9	4	1	6	450	18	http://www.lila.hs.kr
2018	서울	중구	공업고등학교	사립	남자	특별/광역시	한양공업고등학교	주간	93	18	35	4	52	13	6	1	11	929	36	http://www.hanyang.hs.kr
2018	서울	중구	상업고등학교	공립	여자	특별/광역시	성동글로벌경영고등학교	주간	64	48	23	16	36	29	5	3	7	695	29	http://www.sdglobal.hs.kr
2018	서울	중구	상업고등학교	사립	여자	특별/광역시	경기여자상업고등학교	주간	33	23	13	9	17	14	3	0	5	380	15	http://www.gggc.hs.kr
2018	서울	중구	상업고등학교	사립	남여공학	특별/광역시	대경상업고등학교	주간	56	23	23	6	25	11	8	6	5	583	24	http://www.daekyeong.hs.kr
2018	서울	용산구	공업고등학교	공립	남여공학	특별/광역시	용산공업고등학교	주간	87	29	19	12	64	15	4	2	11	813	33	http://www.yongsan-th.hs.kr
2018	서울	용산구	공업고등학교	사립	남여공학	특별/광역시	서울디지텍고등학교	주/야간	42	13	13	1	19	6	10	6	7	414	17	http://www.sdh.hs.kr
2018	서울	용산구	상업고등학교	공립	남여공학	특별/광역시	선린인터넷고등학교	주간	85	60	35	21	39	29	11	10	5	910	36	http://www.sunrint.hs.kr
2018	서울	성동구	공업고등학교	공립	남여공학	특별/광역시	서울방송고등학교	주간	63	43	15	12	35	21	13	10	8	529	21	http://www.seb.hs.kr
2018	서울	성동구	공업고등학교	공립	남여공학	특별/광역시	성수공업고등학교	주간	74	25	23	14	43	6	8	5	9	542	27	http://www.sungsu.hs.kr
2018	서울	성동구	상업고등학교	공립	남여공학	특별/광역시	덕수고등학교	주간	110	76	59	38	33	24	18	14	9	965	47	http://www.duksoo.hs.kr
2018	서울	동대문구	공업고등학교	공립	남여공학	특별/광역시	휘경공업고등학교	주간	86	27	27	19	54	8	5	0	13	603	31	http://www.hgt.hs.kr
2018	서울	동대문구	상업고등학교	사립	여자	특별/광역시	정화여자상업고등학교	주간	41	26	17	14	21	11	3	1	5	398	19	http://www.jeonghwa.hs.kr
2018	서울	동대문구	상업고등학교	사립	여자	특별/광역시	해성국제컨벤션고등학교	주간	61	33	21	11	31	18	9	4	6	663	27	http://www.haesung.hs.kr
2018	서울	중랑구	상업고등학교	사립	여자	특별/광역시	송곡관광고등학교	주간	47	26	19	11	20	10	8	5	4	523	21	http://www.sgi.hs.kr
2018	서울	중랑구	상업고등학교	사립	여자	특별/광역시	이화여자대학교병설미디어고등학교	주간	58	36	17	10	28	15	13	11	6	596	24	http://www.ewhamedia.hs.kr
2018	서울	성북구	상업고등학교	사립	남여공학	특별/광역시	고명경영고등학교	주간	43	28	16	7	21	15	6	6	5	329	19	http://www.komyung.hs.kr
2018	서울	성북구	상업고등학교	사립	여자	특별/광역시	동구마케팅고등학교	주간	69	45	29	20	35	22	5	3	6	742	30	http://donggoo.hs.kr
2018	서울	성북구	공업고등학교	공립	남여공학	특별/광역시	서울도시과학기술고등학교	주간	67	24	13	9	48	12	6	3	10	400	21	http://www.sust.hs.kr
2018	서울	강북구	상업고등학교	사립	여자	특별/광역시	성암국제무역고등학교	주간	53	30	25	14	19	10	9	6	5	576	24	http://www.seongam.hs.kr
2018	서울	도봉구	상업고등학교	공립	남여공학	특별/광역시	서울문화고등학교	주간	70	42	19	7	37	25	14	10	6	668	32	http://www.seoulculture.hs.kr
2018	서울	도봉구	실업고등학교	사립	여자	특별/광역시	세그루패션디자인고등학교	주간	57	35	23	8	27	24	7	3	5	525	24	http://www.sfd.hs.kr
2018	서울	노원구	공업고등학교	공립	남여공학	특별/광역시	경기기계공업고등학교	주간	148	43	32	15	86	16	30	12	15	"1,185"	54	http://www.ggmt.hs.kr
2018	서울	노원구	공업고등학교	사립	남자	특별/광역시	광운전자공업고등학교	주간	76	17	27	4	39	9	10	4	8	757	30	http://www.kwangwoon.hs.kr/
2018	서울	노원구	공업고등학교	사립	남여공학	특별/광역시	미래산업과학고등학교	주간	63	13	21	4	31	6	11	3	7	608	24	http://www.mist.hs.kr
2018	서울	노원구	공업고등학교	사립	남여공학	특별/광역시	서울아이티고등학교	주간	73	22	25	4	40	14	8	4	11	757	30	http://www.seoulit.hs.kr
2018	서울	노원구	공업고등학교	사립	여자	특별/광역시	염광여자메디텍고등학교	주간	56	33	23	12	28	19	5	2	10	522	23	http://www.ykm.hs.kr
2018	서울	노원구	공업고등학교	사립	남여공학	특별/광역시	인덕공업고등학교	주간	80	20	24	6	44	9	12	5	9	733	30	http://www.induk.hs.kr
2018	서울	노원구	상업고등학교	사립	남여공학	특별/광역시	동산정보산업고등학교	주간	103	57	45	20	43	28	15	9	6	"1,040"	45	http://www.seouldongsan.hs.kr
2018	서울	노원구	실업고등학교	사립	여자	특별/광역시	영신간호비즈니스고등학교	주간	57	38	24	15	27	18	6	5	6	617	27	http://www.youngshin.hs.kr
2018	서울	은평구	공업고등학교	사립	남여공학	특별/광역시	세명컴퓨터고등학교	주간	62	29	19	8	35	16	8	5	8	616	24	http://www.smc.hs.kr
2018	서울	은평구	공업고등학교	사립	남여공학	특별/광역시	신진과학기술고등학교	주간	68	18	18	6	42	7	8	5	7	611	24	http://www.shinjin.hs.kr
2018	서울	은평구	공업고등학교	사립	남여공학	특별/광역시	은평메디텍고등학교	주간	61	16	19	4	34	8	8	4	10	507	23	http://www.eunpyeong.hs.kr
2018	서울	은평구	상업고등학교	사립	여자	특별/광역시	동명여자정보산업고등학교	주간	37	30	10	7	20	18	7	5	4	363	15	http://www.dmgii.hs.kr
2018	서울	은평구	상업고등학교	사립	여자	특별/광역시	선일이비즈니스고등학교	주간	61	39	24	17	26	18	11	4	6	664	27	http://www.ebiz.hs.kr
2018	서울	은평구	실업고등학교	사립	여자	특별/광역시	선정국제관광고등학교	주간	38	27	14	9	19	16	5	2	5	347	15	http://www.sjt.hs.kr
2018	서울	은평구	실업고등학교	사립	여자	특별/광역시	예일디자인고등학교	주간	55	39	21	15	25	17	9	7	5	614	24	http://www.yale-dh.hs.kr/
2018	서울	마포구	공업고등학교	사립	남여공학	특별/광역시	서울디자인고등학교	주간	80	53	22	12	50	36	8	5	7	787	31	http://www.seodi.hs.kr
2018	서울	마포구	공업고등학교	사립	남여공학	특별/광역시	한세사이버보안고등학교	주간	37	11	12	4	21	6	4	1	7	375	15	http://www.hansei.org
2018	서울	마포구	상업고등학교	사립	여자	특별/광역시	홍익디자인고등학교	주간	36	25	15	9	14	10	7	6	5	406	15	http://www.hid.hs.kr
2018	서울	양천구	상업고등학교	공립	남여공학	특별/광역시	서울금융고등학교	주간	61	47	18	11	31	26	12	10	6	422	27	http://www.seoulfc.hs.kr
2018	서울	양천구	상업고등학교	사립	여자	특별/광역시	대일관광고등학교	주간	52	17	21	5	26	9	5	3	5	574	24	http://www.daeil-tour.hs.kr
2018	서울	양천구	상업고등학교	사립	남여공학	특별/광역시	서울영상고등학교	주간	42	22	17	9	18	9	7	4	5	462	18	http://youngsang.hs.kr
2018	서울	강서구	공업고등학교	공립	남여공학	특별/광역시	강서공업고등학교	주간	64	31	17	8	40	19	7	4	9	584	24	http://gangseo-th.hs.kr
2018	서울	강서구	공업고등학교	사립	남자	특별/광역시	영등포공업고등학교	주간	60	16	17	5	36	9	7	2	9	491	23	http://www.younggong.hs.kr
2018	서울	강서구	상업고등학교	사립	여자	특별/광역시	경복비즈니스고등학교	주간	57	36	17	12	30	20	10	4	7	665	27	http://www.kbb.hs.kr
2018	서울	강서구	상업고등학교	사립	남여공학	특별/광역시	서울항공비즈니스고등학교	주간	75	34	35	13	33	19	7	2	6	759	35	http://www.semin.hs.kr
2018	서울	강서구	상업고등학교	사립	여자	특별/광역시	신정여자상업고등학교	주간	62	34	27	15	28	13	7	6	6	589	29	http://www.shinjung.hs.kr
2018	서울	강서구	상업고등학교	사립	여자	특별/광역시	화곡보건경영고등학교	주간	53	29	24	15	25	11	4	3	5	540	24	http://www.hwagok-gii.hs.kr
2018	서울	구로구	공업고등학교	사립	남여공학	특별/광역시	덕일전자공업고등학교	주간	26	4	9	1	13	2	4	1	4	295	12	http://deogil.hs.kr
2018	서울	구로구	공업고등학교	사립	남여공학	특별/광역시	유한공업고등학교	주간	62	10	21	4	37	5	4	1	7	612	24	http://www.yuhan.hs.kr
2018	서울	구로구	상업고등학교	사립	남여공학	특별/광역시	서서울생활과학고등학교	주간	81	48	34	20	37	21	10	7	5	"1,032"	39	http://ssls.hs.kr
2018	서울	구로구	상업고등학교	사립	여자	특별/광역시	예림디자인고등학교	주간	36	21	14	10	17	9	5	2	4	363	17	http://yerim.hs.kr
2018	서울	금천구	상업고등학교	사립	여자	특별/광역시	동일여자상업고등학교	주간	78	66	23	19	44	38	11	9	6	848	36	http://www.dongil-cd.hs.kr
2018	서울	영등포구	공업고등학교	공립	남여공학	특별/광역시	한강미디어고등학교	주간	70	44	14	9	42	25	14	10	8	606	24	http://www.hangang-ech.hs.kr
2018	서울	동작구	공업고등학교	공립	남여공학	특별/광역시	서울공업고등학교	주간	162	58	38	22	107	26	17	10	13	"1,478"	60	http://www.seoul-th.hs.kr
2018	서울	관악구	상업고등학교	사립	남여공학	특별/광역시	광신정보산업고등학교	주간	38	23	16	10	18	12	4	1	5	344	17	http://kwangshin-i.hs.kr
2018	서울	관악구	상업고등학교	사립	남여공학	특별/광역시	서울관광고등학교	주간	65	36	19	12	38	20	8	4	6	748	30	http://www.seoul-tour.hs.kr
2018	서울	관악구	상업고등학교	사립	여자	특별/광역시	서울여자상업고등학교	주간	65	30	24	10	34	15	7	5	7	774	30	http://www.sys.hs.kr
2018	서울	관악구	상업고등학교	사립	남여공학	특별/광역시	영락유헬스고등학교	주간	44	26	14	6	20	13	10	7	5	381	18	http://youngnak-c.hs.kr
2018	서울	관악구	공업고등학교	사립	여자	특별/광역시	미림여자정보과학고등학교	주간	46	16	19	6	24	10	3	0	6	349	18	http://www.e-mirim.hs.kr
2018	서울	서초구	공업고등학교	공립	남여공학	특별/광역시	서울전자고등학교	주간	67	43	17	12	44	27	6	4	8	449	24	http://e-seoul.hs.kr
2018	서울	강남구	공업고등학교	사립	남자	특별/광역시	단국공업고등학교	주간	38	7	11	3	23	3	4	1	7	291	15	http://www.dankook.hs.kr
2018	서울	강남구	공업고등학교	사립	남여공학	특별/광역시	대진디자인고등학교	주간	69	28	22	10	38	14	9	4	9	684	27	http://www.daejindesign.hs.kr
2018	서울	강남구	공업고등학교	공립	남여공학	특별/광역시	서울로봇고등학교	주간	72	35	18	12	46	19	8	4	8	457	24	http://www.seoulrobot.hs.kr/
