학제,학교명,본분교,학과명,주야구분,취업률,졸업자수,건보가입취업자,교내취업자,해외취업자,농림어업종사자,개인창작활동종사자,1인창(사)업자,프리랜서,진학자,입대자,취업불가능자,외국인유학생,제외인정자,기타,미상
전문대학,대림대학교,본교,문헌정보과,일반과정_주간,70.8,59,30,1,0,0,0,1,2,11,0,0,0,0,14,0
전문대학,대림대학교,본교,문헌정보과,일반과정_야간,100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
전문대학,대림대학교,본교,문헌정보학과,학사학위전공심화(경력없음)_야간,83.3,12,10,0,0,0,0,0,0,0,0,0,0,0,2,0
전문대학,대림대학교,본교,문헌정보학과(1년),학사학위전공심화(경력없음)_야간,65,40,24,2,0,0,0,0,0,0,0,0,0,0,14,0
전문대학,동원대학교,본교,아동문헌정보전공,일반과정_주간,71.4,39,19,0,0,0,0,0,1,8,3,0,0,0,8,0
전문대학,동원대학교,본교,아동문헌정보학과,학사학위전공심화(경력없음)_야간,70,10,7,0,0,0,0,0,0,0,0,0,0,0,3,0
전문대학,창원문성대학교,본교,문헌정보과(;교육서비스),일반과정_주간,80,7,4,0,0,0,0,0,0,2,0,0,0,0,1,0
전문대학,창원문성대학교,본교,문헌정보과(;교육서비스)(3년제),일반과정_주간,41.7,26,9,0,0,0,0,0,1,0,0,0,0,2,14,0
전문대학,부산여자대학교,본교,보건의료문헌정보과,일반과정_주간,100,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
전문대학,숭의여자대학교,본교,문헌정보과,일반과정_주간,64.2,69,40,0,0,0,0,0,3,2,0,0,0,0,24,0
전문대학,숭의여자대학교,본교,문헌정보과,일반과정_야간,68.4,39,22,4,0,0,0,0,0,1,0,0,0,0,12,0
대학교,경북대학교,본교,문헌정보학과,일반과정_주간,41.9,36,11,0,0,0,0,0,2,2,0,0,3,0,18,0
대학교,공주대학교,본교,문헌정보교육과,일반과정_주간,40.7,27,10,0,0,0,0,0,1,0,0,0,0,0,16,0
대학교,부산대학교,본교,문헌정보학과,일반과정_주간,25.6,46,11,0,0,0,0,0,0,3,0,0,0,0,32,0
대학교,전남대학교,본교,문헌정보학과,일반과정_주간,35.7,43,13,2,0,0,0,0,0,1,0,0,0,0,27,0
대학교,전북대학교,본교,문헌정보학과,일반과정_주간,52.4,23,8,2,0,0,0,0,1,2,0,0,0,0,10,0
대학교,충남대학교,본교,문헌정보학과,일반과정_주간,40,25,10,0,0,0,0,0,0,0,0,0,0,0,15,0
대학교,인천대학교,본교,문헌정보학과,일반과정_주간,50,31,14,0,0,0,0,0,1,1,0,0,0,0,15,0
대학교,강남대학교,본교,문헌정보학과,일반과정_주간,63,46,22,3,2,0,0,0,2,0,0,0,0,0,17,0
대학교,건국대학교,분교,문헌정보학과,일반과정_주간,59.1,66,34,3,0,0,0,0,2,0,0,0,0,0,27,0
대학교,경기대학교,본교,문헌정보학과,일반과정_주간,65,43,23,1,0,0,0,0,2,3,0,0,0,0,14,0
대학교,경성대학교,본교,문헌정보학과,일반과정_주간,47.4,39,13,4,0,0,0,0,1,1,0,0,0,0,20,0
대학교,경일대학교,본교,문헌정보학과,일반과정_주간,60,20,9,2,0,0,0,0,1,0,0,0,0,0,8,0
대학교,계명대학교,본교,문헌정보학과,일반과정_주간,45.5,57,24,0,0,0,0,1,0,2,0,0,0,0,17,13
대학교,나사렛대학교,본교,점자문헌정보학과,일반과정_주간,52.4,23,9,2,0,0,0,0,0,1,0,0,0,1,10,0
대학교,대구대학교,본교,문헌정보학과,일반과정_주간,48.1,28,4,9,0,0,0,0,0,0,0,0,0,1,14,0
